,2014
0,1.56547619
1,1.56547619
2,1.56547619
3,1.56547619
4,1.56547619
5,1.56547619
6,1.56547619
7,1.56547619
8,1.56547619
9,1.56547619
10,1.56547619
11,1.56547619
12,1.56547619
13,1.56547619
14,1.56547619
15,1.56547619
16,1.56547619
17,1.56547619
18,1.56547619
19,1.56547619
20,2.661616162
21,2.661616162
22,2.661616162
23,2.661616162
24,2.661616162
25,4.292948718
26,4.292948718
27,4.292948718
28,4.292948718
29,4.292948718
30,7.15684537
31,7.15684537
32,7.15684537
33,7.15684537
34,7.15684537
35,10.9501281
36,10.9501281
37,10.9501281
38,10.9501281
39,10.9501281
40,13.7617421
41,13.7617421
42,13.7617421
43,13.7617421
44,13.7617421
45,17.60030364
46,17.60030364
47,17.60030364
48,17.60030364
49,17.60030364
50,19.90216378
51,19.90216378
52,19.90216378
53,19.90216378
54,19.90216378
55,20.48303393
56,20.48303393
57,20.48303393
58,20.48303393
59,20.48303393
60,19.96841928
61,19.96841928
62,19.96841928
63,19.96841928
64,19.96841928
65,18.00638104
66,18.00638104
67,18.00638104
68,18.00638104
69,18.00638104
70,19.68249661
71,19.68249661
72,19.68249661
73,19.68249661
74,19.68249661
75,19.68249661
76,19.68249661
77,19.68249661
78,19.68249661
79,19.68249661
80,19.68249661
81,19.68249661
82,19.68249661
83,19.68249661
84,19.68249661
85,19.68249661
86,19.68249661
87,19.68249661
88,19.68249661
89,19.68249661
90,19.68249661
91,19.68249661
92,19.68249661
93,19.68249661
94,19.68249661
95,19.68249661
96,19.68249661
97,19.68249661
98,19.68249661
99,19.68249661
100,19.68249661
101,19.68249661
102,19.68249661
103,19.68249661
104,19.68249661
105,19.68249661
106,19.68249661
107,19.68249661
108,19.68249661
109,19.68249661
110,19.68249661
111,19.68249661
112,19.68249661
113,19.68249661
114,19.68249661
115,19.68249661
116,19.68249661
117,19.68249661
118,19.68249661
119,19.68249661
120,19.68249661
121,19.68249661
122,19.68249661
123,19.68249661
124,19.68249661
125,19.68249661
